country,country_name,country_id,year,family,seat_share,cabinet_share
AUS,Australia,33,1952,soc,43.9,0
AUS,Australia,33,1953,agr,0,0
AUS,Australia,33,1953,chr,0,0
AUS,Australia,33,1953,com,0,0
AUS,Australia,33,1953,con,56.1,100
AUS,Australia,33,1953,eco,0,0
AUS,Australia,33,1953,lib,0,0
AUS,Australia,33,1953,other,0,0
AUS,Australia,33,1953,right,0,0
AUS,Australia,33,1953,soc,43.9,0
AUS,Australia,33,1954,agr,0,0
AUS,Australia,33,1954,chr,0,0
AUS,Australia,33,1954,com,0,0
AUS,Australia,33,1954,con,56.1,100
AUS,Australia,33,1954,eco,0,0
AUS,Australia,33,1954,lib,0,0
AUS,Australia,33,1954,other,0,0
AUS,Australia,33,1954,right,0,0
AUS,Australia,33,1954,soc,43.9,0
AUS,Australia,33,1955,agr,0,0
AUS,Australia,33,1955,chr,0,0
AUS,Australia,33,1955,com,0,0
AUS,Australia,33,1955,con,52,100
AUS,Australia,33,1955,eco,0,0
AUS,Australia,33,1955,lib,0,0
AUS,Australia,33,1955,other,0,0
AUS,Australia,33,1955,right,0,0
AUS,Australia,33,1955,soc,48,0
AUS,Australia,33,1956,agr,0,0
AUS,Australia,33,1956,chr,0,0
AUS,Australia,33,1956,com,0,0
AUS,Australia,33,1956,con,60.5,100
AUS,Australia,33,1956,eco,0,0
AUS,Australia,33,1956,lib,0,0
AUS,Australia,33,1956,other,0,0
AUS,Australia,33,1956,right,0,0
AUS,Australia,33,1956,soc,39.5,0
AUS,Australia,33,1957,agr,0,0
AUS,Australia,33,1957,chr,0,0
AUS,Australia,33,1957,com,0,0
AUS,Australia,33,1957,con,60.5,100
AUS,Australia,33,1957,eco,0,0
AUS,Australia,33,1957,lib,0,0
AUS,Australia,33,1957,other,0,0
AUS,Australia,33,1957,right,0,0
AUS,Australia,33,1957,soc,39.5,0
AUS,Australia,33,1958,agr,0,0
AUS,Australia,33,1958,chr,0,0
AUS,Australia,33,1958,com,0,0
AUS,Australia,33,1958,con,60.5,100
AUS,Australia,33,1958,eco,0,0
AUS,Australia,33,1958,lib,0,0
AUS,Australia,33,1958,other,0,0
AUS,Australia,33,1958,right,0,0
AUS,Australia,33,1958,soc,39.5,0
AUS,Australia,33,1959,agr,0,0
AUS,Australia,33,1959,chr,0,0
AUS,Australia,33,1959,com,0,0
AUS,Australia,33,1959,con,62.1,100
AUS,Australia,33,1959,eco,0,0
AUS,Australia,33,1959,lib,0,0
AUS,Australia,33,1959,other,0,0
AUS,Australia,33,1959,right,0,0
AUS,Australia,33,1959,soc,37.9,0
AUS,Australia,33,1960,agr,0,0
AUS,Australia,33,1960,chr,0,0
AUS,Australia,33,1960,com,0,0
AUS,Australia,33,1960,con,62.1,100
AUS,Australia,33,1960,eco,0,0
AUS,Australia,33,1960,lib,0,0
AUS,Australia,33,1960,other,0,0
AUS,Australia,33,1960,right,0,0
AUS,Australia,33,1960,soc,37.9,0
AUS,Australia,33,1961,agr,0,0
AUS,Australia,33,1961,chr,0,0
AUS,Australia,33,1961,com,0,0
AUS,Australia,33,1961,con,62.1,100
