id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
102,13,44,1951-10-25,,1,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1951",625,34919331,,28596594,,"Early election on 25 October 1951.
Parliament was dissolved because Labour called the election in the hope of increasing their five seat majority.",,625,,88,826,19510
103,13,54,1953-09-06,,0,"http://en.wikipedia.org/wiki/West_German_federal_election,_1953",487,33120940,28479550,27551272,"bwl, dhbt",Election on 6 September 1953 with modified electoral rules.,,581,,147,276,19530
104,1,35,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_%28Sweden%29",19,6827870,2584464,2512069,val,,,156,374,641,752,1020040
105,13,40,1995-10-22,,0,"http://en.wikipedia.org/wiki/Swiss_federal_election,_1995",200,4596209,1940622,1905325,bafs,,,521,,773,756,19950
106,13,63,1985-10-06,,1,"http://en.wikipedia.org/wiki/Portuguese_legislative_election,_1985",250,7818981,5798929,5653610,"ap, cne",President Soares dissolved parliament on 28 April 1987 and set snap elections for 19 July (AP).,,598,,885,620,19850
107,13,26,2006-04-09,,1,"http://en.wikipedia.org/wiki/Italian_general_election,_2006",630,49502192,40436294,39207414,archivio,,,498,329,567,380,20060
108,13,40,1963-10-27,,0,"http://en.wikipedia.org/wiki/Swiss_federal_election,_1963",200,1493026,986997,969037,bafs,,,674,,623,756,19630
109,1,7,1984-06-17,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(Luxembourg)",6,215792,191602,173888,"asl, macr-85",,,606,589,27,442,1019840
111,13,26,2008-04-13,,1,"http://en.wikipedia.org/wiki/Italian_general_election,_2008",630,50257354,37954253,36530777,"archivio, mdi",,,107,329,117,380,20080
112,13,29,1949-06-27,,0,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1949",262,7893629,5903572,5848971,"ceoc, pica",,,189,,534,124,19490
113,13,5,1980-06-22,,1,"http://en.wikipedia.org/wiki/Japanese_House_of_Councillors_election,_1980",511,80925034,60338440,59028837,parline,,,433,,727,392,19800
114,13,56,1983-04-23,,0,"http://en.wikipedia.org/wiki/Icelandic_parliamentary_election,_1983",60,150977,133304,129962,"gud97, hagstofa",,Remaining votes won by candidates without party affiliation in two districts. ,436,,752,352,19830
