id,election_id,party_id,alliance_id,seats,vote_share,votes,data_source,description,comment
7484,119,2238,,0,1.32,37929,essex,,
7485,119,2239,,0,1.05,30292,essex,,
7486,349,1000,929,,,,,,
7488,382,1587,3164,,,,voltive,,
7489,382,317,,0,2.75,32696,voltive,,
7490,382,2241,,0,1.14,13592,voltive,,
7491,382,2275,,0,1.6,18965,voltive,,
7492,382,875,,0,1.52,18069,voltive,,
7493,382,2243,,0,1.42,16892,voltive,,
7494,382,2244,,0,1.36,16178,voltive,,
7495,382,1370,,0,1.0,,voltive,,
7496,338,2275,,0,1.15,12335,voltive,,
7497,338,2245,,0,1.06,11383,voltive,,
7498,522,1512,3225,,,,voltive,,
7499,214,2039,1425,,,,vrk,,
7500,308,306,2042,,,,,,
7501,434,306,2398,,,,,,
7502,668,306,1417,,,,,,
7503,168,306,2695,,,,,,
7504,309,306,4781,,,,,,
7505,119,2246,1895,1,,,buga,,
7506,119,2247,1895,7,,,buga,,
7507,119,2248,1895,9,,,buga,,
7508,294,2248,4301,9,,,buga,,
7509,294,2247,4301,5,,,buga,,
7510,538,2247,869,,,,buga,,
7511,538,2248,869,,,,buga,,
7512,646,383,,0,1.75,21589,vrk,,
7513,646,676,,0,1.11,13775,vrk,,
7514,171,2077,,1,0.51,133473,ref,,
7515,171,947,,1,,,ref,,
7516,171,1101,7536,1,1.2,312581,ref,,
7517,171,2083,,0,3.41,888250,ref,,
7518,403,1176,,0,1.2,301984,"asn, no-2010",,
7519,403,442,,0,1.27,320467,"asn, no-2010",,
7520,403,1492,7538,7,1.54,388891,"asn, no-2010",,
7521,403,177,7538,3,1.09,275553,"asn, no-2010",,
7522,403,2143,,0,1.19,299897,"asn, no-2010",,
7523,403,2249,,0,1.17,295899,"asn, no-2010",,
7525,403,259,,0,1.67,422448,"asn, no-2010",,
7526,403,59,7537,1,0.41,104767,"asn, no-2010",,
7527,403,2252,7537,5,0.37,94222,"asn, no-2010",,
7529,403,1263,,0,1.09,276376,"asn, no-2010",,
7530,479,2083,,0,2.53,644051,"asn, no-2010",,
