election_id,turnout,enp_votes,enp_seats,disproportionality,advantage_ratio,polarization_vote,polarization_seats,calculation_date
477,47.93,4.587930462787863,2.952585605447493,10.632765023385643,1.314123623776022,0.39015733111439355,0.3852790543319859,2023-11-04 21:48:06
478,82.02,3.7579559215069733,2.7226524685382385,9.092579086510298,1.2402422120084629,0.3914312420577205,0.3545447488580288,2023-11-04 21:48:06
479,67.92,6.98738092978842,3.432717786919897,20.040302545762387,1.8584756075076514,0.5650772380414415,0.41312058570035015,2023-11-04 21:48:06
480,71.57,2.9819134425671834,2.3711966006525538,6.235675584890535,1.1530970003895595,0.4461195960822315,0.44424124865442705,2023-11-04 21:48:06
482,70.25,3.9422726705219207,3.4916201117318435,4.407261054214966,1.550387596899225,0.36740185158391625,0.3862449974873461,2023-11-04 21:48:06
483,97.16,2.0586884310109625,1.9995800083998316,1.4678046510328917,1.0308653204778364,0.16724975454961558,0.16848593265724482,2023-11-04 21:48:06
484,89.09,3.2141525565369435,3.1623482607365094,0.46637591257565586,1.0145293214743791,0.34070774060797004,0.33988317579564803,2023-11-04 21:48:06
485,71.9,3.4850612848026925,3.135372214319583,4.066008990586615,1.118925831202046,0.3974132575733561,0.3885343389227336,2023-11-04 21:48:06
486,89.22,10.033781736349944,8.42065868263473,3.7869571484827302,1.293103448275862,0.4185727346372671,0.4173965809091717,2023-11-04 21:48:06
487,57.95,4.8300500987286386,3.805899143672693,5.979627914845536,1.185124642419289,0.48583759442134233,0.5232608187759148,2023-11-04 21:48:06
490,75.42,3.075275391680144,2.175032175032175,18.191265192117363,2.5641025641025643,0.3844715791169274,0.44774305932368336,2023-11-04 21:48:06
491,50.21,4.366776186869025,3.813559322033898,7.324881872388417,1.990049751243781,0.3110299217681654,0.3256541250490794,2023-11-04 21:48:06
